"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.276","7//2015",NA
"29.29.104.277","7//2015",1
"29.29.104.278","7//2015",1
"29.29.104.279","7//2015",NA
"29.29.104.280","7//2015",1
"29.29.104.281","7//2015",1
"29.29.104.283","7//2015",1
"29.29.104.251","8//2015",1
"29.29.104.250","8//2015",1
"29.29.104.249","8//2015",1
"29.29.104.248","8//2015",1
"29.29.104.247","8//2015",1
"29.29.104.246","8//2015",1
"29.29.104.245","8//2015",1
"29.29.104.244","8//2015",1
"29.29.104.241","8//2015",1
"29.29.104.240","8//2015",1
"29.29.104.230","8//2015",1
"29.29.104.233","8//2015",1
"29.29.104.235","8//2015",1
"29.29.104.236","8//2015",1
"29.29.104.238","8//2015",1
"29.29.104.239","8//2015",1
"29.29.104.256","8//2015",NA
"29.29.104.255","8//2015",1
"29.29.104.253","8//2015",1
"29.29.104.252","8//2015",NA
"29.29.104.563","10//2015",1
"29.29.104.562","10//2015",1
"29.29.104.561","10//2015",1
"29.29.104.560","10//2015",1
"29.29.104.559","10//2015",1
"29.29.104.592","10//2015",NA
"29.29.104.598","10//2015",1
"29.29.104.597","10//2015",1
"29.29.104.596","10//2015",NA
"29.29.104.595","10//2015",1
"29.29.104.606","10//2015",1
"29.29.104.601","10//2015",1
"29.29.104.600","10//2015",1
"29.29.104.599","10//2015",1
"29.29.104.564","10//2015",NA
"29.29.104.565","10//2015",1
"29.29.104.569","10//2015",1
"29.29.104.570","10//2015",1
"29.29.104.572","10//2015",1
"29.29.104.574","10//2015",1
"29.29.104.608","11//2015",1
"29.29.104.610","11//2015",1
"29.29.104.611","11//2015",1
"29.29.104.612","11//2015",1
"29.29.104.614","11//2015",1
"29.29.104.615","11//2015",NA
"29.29.104.616","11//2015",1
"29.29.104.617","11//2015",1
"29.29.104.618","11//2015",1
"29.29.104.1187","1//2016",1
"29.29.104.1189","1//2016",NA
"29.29.104.1188","1//2016",1
"29.29.104.1190","1//2016",1
"29.29.104.1191","1//2016",1
"29.29.104.1192","1//2016",1
"29.29.104.1193","1//2016",1
"29.29.104.1195","1//2016",1
"29.29.104.1196","1//2016",1
"29.29.104.1198","1//2016",1
"29.29.104.1199","1//2016",1
"29.29.104.828","2/10/16",1
"29.29.104.830","2/10/16",1
"29.29.104.831","2/10/16",1
"29.29.104.832","2/10/16",NA
"29.29.104.833","2/10/16",1
"29.29.104.834","2/10/16",1
"29.29.104.835","2/10/16",1
"29.29.104.836","2/10/16",1
"29.29.104.837","2/10/16",1
"29.29.104.841","2/10/16",1
"29.29.104.840","2/10/16",1
"29.29.104.843","2/10/16",1
"29.29.104.1439","3/23/16",1
"29.29.104.811","3/23/16",1
"29.29.104.810","3/23/16",1
"29.29.104.809","3/23/16",1
"29.29.104.808","3/23/16",1
"29.29.104.807","3/23/16",1
"29.29.104.805","3/23/16",1
"29.29.104.712","4/8/16",1
"29.29.104.713","4/8/16",1
"29.29.104.714","4/8/16",1
"29.29.104.715","4/8/16",1
"29.29.104.716","4/8/16",1
"29.29.104.717","4/8/16",1
"29.29.104.718","4/8/16",1
"29.29.104.719","4/8/16",1
"29.29.104.690","4/8/16",1
"29.29.104.709","4/8/16",1
"29.29.104.676","4/20/16",1
"29.29.104.679","4/20/16",1
"29.29.104.673","4/20/16",1
